LST_2024Ex,LST_2014Ex,LST_2005Ex,NDVI_2024Ex,NDVI_2014Ex,NDVI_2004Ex,UI_2024Ex,UI_2014Ex,UI_2004Ex,Normalised_PD_2024,Normalised_PD_2014,Normalised_PD_2004,Normalised_Nonbuiltup_road_2024,Distance_to_Nonbuiltup_CBD
43.105,42.716,42.072,0.290,0.167,0.203,0.306,0.240,-0.017,0.170,0.132,0.137,0.860,0.518
42.874,43.830,43.567,0.261,0.179,0.228,0.277,0.274,-0.002,0.170,0.132,0.137,0.807,0.501
42.281,42.653,45.053,0.279,0.204,0.235,0.299,0.295,-0.028,0.195,0.174,0.151,0.756,0.485
40.791,41.041,43.563,0.214,0.332,0.308,0.231,0.356,-0.071,0.195,0.174,0.151,0.710,0.474
39.900,40.872,42.034,0.291,0.304,0.273,0.300,0.315,-0.045,0.208,0.168,0.149,0.662,0.462
40.062,39.162,40.105,0.250,0.278,0.336,0.289,0.322,-0.061,0.208,0.168,0.149,0.614,0.453
40.255,39.955,43.183,0.347,0.306,0.225,0.306,0.305,-0.018,0.228,0.196,0.142,0.570,0.446
41.745,40.286,44.686,0.233,0.230,0.274,0.275,0.271,-0.040,0.228,0.196,0.142,0.522,0.441
45.314,42.962,45.085,0.161,0.251,0.264,0.231,0.273,-0.031,0.147,0.106,0.118,0.475,0.439
40.140,42.551,45.072,0.105,0.255,0.179,-0.005,0.289,0.006,0.147,0.106,0.118,0.437,0.439
40.089,39.936,43.518,0.422,0.395,0.277,0.328,0.327,-0.049,0.132,0.083,0.124,0.404,0.439
42.229,40.131,43.944,0.287,0.235,0.209,0.300,0.285,-0.007,0.132,0.083,0.124,0.383,0.442
41.700,40.978,44.305,0.278,0.242,0.297,0.286,0.280,-0.047,0.083,0.068,0.077,0.375,0.446
42.116,40.789,45.031,0.257,0.399,0.234,0.277,0.345,-0.022,0.083,0.068,0.077,0.375,0.455
39.286,35.708,40.051,0.269,0.254,0.199,0.261,0.229,-0.069,0.089,0.070,0.083,0.383,0.466
41.460,41.927,43.574,0.255,0.204,0.245,0.291,0.289,-0.027,0.111,0.076,0.082,0.522,0.775
43.283,41.325,44.339,0.205,0.184,0.329,0.283,0.274,-0.039,0.116,0.082,0.086,0.545,0.746
44.326,43.703,43.575,0.203,0.208,0.198,0.281,0.297,-0.016,0.121,0.086,0.086,0.570,0.722
42.637,42.168,44.719,0.263,0.287,0.148,0.305,0.313,0.022,0.125,0.081,0.085,0.595,0.695
42.048,42.146,41.990,0.295,0.357,0.332,0.244,0.304,-0.056,0.125,0.081,0.085,0.620,0.668
41.751,42.792,45.087,0.295,0.255,0.205,0.297,0.313,-0.008,0.142,0.091,0.090,0.647,0.641
43.019,41.516,43.545,0.226,0.324,0.292,0.278,0.339,-0.035,0.136,0.083,0.082,0.678,0.619
40.730,42.050,42.439,0.324,0.238,0.142,0.306,0.270,0.013,0.136,0.084,0.083,0.710,0.593
42.227,41.247,43.577,0.247,0.190,0.190,0.280,0.263,0.009,0.153,0.103,0.098,0.740,0.568
41.883,42.244,44.322,0.210,0.305,0.218,0.228,0.327,-0.008,0.153,0.103,0.098,0.771,0.548
43.961,42.887,44.712,0.161,0.218,0.280,0.224,0.299,-0.029,0.152,0.106,0.107,0.803,0.526
