LST_2024Ex,LST_2014Ex,LST_2005Ex,NDVI_2024Ex,NDVI_2014Ex,NDVI_2004Ex,UI_2024Ex,UI_2014Ex,UI_2004Ex,Normalised_PD_2024,Normalised_PD_2014,Normalised_PD_2004,Normalised_Nonbuiltup_road_2024,Distance_to_Nonbuiltup_CBD
43.799,42.358,42.047,0.226,0.207,0.176,0.293,0.275,0.016,0.095,0.071,0.084,0.274,0.629
45.316,44.119,45.840,0.173,0.177,0.188,0.267,0.262,0.015,0.074,0.065,0.084,0.301,0.597
44.354,43.483,45.849,0.213,0.161,0.224,0.275,0.251,0.001,0.085,0.074,0.093,0.332,0.566
40.980,41.198,42.011,0.246,0.276,0.256,0.230,0.276,-0.041,0.085,0.074,0.093,0.361,0.536
41.253,40.883,41.258,0.285,0.290,0.268,0.270,0.290,-0.036,0.131,0.090,0.128,0.394,0.511
41.016,42.495,39.302,0.294,0.218,0.324,0.294,0.292,-0.062,0.131,0.090,0.128,0.425,0.482
40.701,41.828,44.309,0.283,0.290,0.309,0.274,0.310,-0.047,0.196,0.154,0.145,0.455,0.455
43.099,43.085,45.851,0.258,0.208,0.158,0.275,0.269,0.034,0.196,0.154,0.145,0.487,0.433
40.932,41.639,42.060,0.150,0.157,0.180,0.188,0.191,-0.030,0.290,0.296,0.225,0.526,0.406
40.049,41.257,41.625,0.289,0.322,0.317,0.255,0.312,-0.086,0.291,0.296,0.226,0.568,0.380
40.390,40.838,41.289,0.215,0.204,0.207,0.203,0.193,-0.037,0.275,0.276,0.252,0.602,0.359
41.130,41.697,42.044,0.229,0.253,0.213,0.254,0.290,-0.013,0.275,0.276,0.252,0.595,0.336
40.177,40.955,42.778,0.189,0.255,0.260,0.206,0.256,-0.047,0.375,0.360,0.365,0.527,0.317
40.079,40.804,42.437,0.177,0.174,0.197,0.183,0.174,-0.029,0.375,0.360,0.365,0.464,0.302
38.479,39.187,39.232,0.204,0.183,0.413,0.165,0.192,-0.103,0.421,0.324,0.299,0.399,0.285
38.465,38.521,39.674,0.393,0.447,0.371,0.306,0.344,-0.103,0.422,0.325,0.299,0.337,0.271
38.367,39.405,38.149,0.408,0.201,0.367,0.352,0.270,-0.079,0.398,0.342,0.315,0.284,0.263
39.796,40.124,41.628,0.334,0.363,0.271,0.249,0.282,-0.057,0.398,0.342,0.315,0.233,0.255
40.453,39.399,42.812,0.213,0.378,0.350,0.241,0.328,-0.093,0.291,0.272,0.308,0.185,0.251
39.849,39.944,45.828,0.227,0.250,0.195,0.225,0.251,-0.020,0.291,0.272,0.308,0.141,0.251
39.679,38.991,42.397,0.236,0.299,0.289,0.216,0.272,-0.053,0.183,0.189,0.187,0.093,0.251
40.009,38.681,41.642,0.256,0.252,0.248,0.236,0.243,-0.051,0.183,0.189,0.187,0.044,0.256
36.899,35.676,40.084,0.444,0.364,0.128,0.381,0.305,-0.060,0.126,0.141,0.139,0.002,0.263
40.468,39.899,44.327,0.256,0.225,0.258,0.240,0.262,-0.040,0.186,0.175,0.066,0.039,0.968
40.044,37.472,42.448,0.315,0.310,0.197,0.273,0.300,-0.006,0.186,0.175,0.066,0.054,0.933
39.427,38.266,40.796,0.359,0.368,0.322,0.317,0.339,-0.070,0.167,0.130,0.074,0.064,0.903
42.679,40.016,42.430,0.233,0.206,0.252,0.288,0.277,-0.015,0.167,0.130,0.074,0.069,0.868
42.060,38.921,43.955,0.212,0.231,0.182,0.203,0.217,-0.009,0.164,0.124,0.077,0.074,0.834
40.950,38.160,42.044,0.282,0.358,0.213,0.298,0.352,-0.017,0.164,0.124,0.077,0.082,0.805
40.532,38.929,43.194,0.281,0.253,0.240,0.307,0.294,-0.015,0.160,0.114,0.081,0.092,0.771
41.833,38.808,40.875,0.239,0.233,0.277,0.253,0.242,-0.059,0.160,0.114,0.081,0.115,0.737
42.180,40.027,43.918,0.431,0.435,0.316,0.379,0.365,-0.046,0.108,0.078,0.076,0.140,0.709
40.155,40.373,41.684,0.242,0.213,0.287,0.268,0.281,-0.035,0.108,0.078,0.076,0.165,0.675
40.384,40.464,41.665,0.369,0.347,0.294,0.341,0.335,-0.043,0.076,0.060,0.078,0.188,0.642
40.999,40.721,42.785,0.252,0.411,0.308,0.298,0.365,-0.049,0.076,0.060,0.078,0.213,0.614
44.816,43.614,41.259,0.217,0.206,0.218,0.294,0.272,-0.005,0.074,0.059,0.082,0.243,0.581
44.619,44.363,45.476,0.229,0.180,0.130,0.281,0.259,0.018,0.081,0.068,0.094,0.275,0.549
44.113,42.120,44.728,0.200,0.331,0.131,0.270,0.286,0.008,0.081,0.068,0.094,0.304,0.517
42.906,43.392,42.440,0.218,0.159,0.240,0.277,0.245,-0.021,0.107,0.090,0.128,0.335,0.492
40.822,43.066,44.301,0.359,0.299,0.333,0.306,0.298,-0.066,0.107,0.090,0.128,0.368,0.462
40.209,41.919,41.625,0.403,0.412,0.277,0.343,0.373,-0.033,0.203,0.183,0.248,0.396,0.433
40.925,42.416,42.821,0.227,0.253,0.256,0.244,0.293,-0.022,0.203,0.184,0.248,0.431,0.411
38.004,39.037,38.127,0.328,0.335,0.226,0.221,0.209,-0.065,0.382,0.394,0.376,0.475,0.384
40.414,40.924,40.101,0.312,0.271,0.248,0.258,0.253,-0.049,0.382,0.394,0.376,0.518,0.357
41.185,41.610,38.881,0.168,0.181,0.258,0.188,0.226,-0.046,0.370,0.382,0.359,0.539,0.335
40.109,40.374,40.852,0.338,0.405,0.266,0.298,0.337,-0.041,0.370,0.382,0.359,0.548,0.311
40.620,41.043,42.428,0.192,0.208,0.316,0.200,0.209,-0.049,0.451,0.442,0.444,0.505,0.290
40.646,41.207,42.049,0.222,0.243,0.202,0.206,0.226,-0.042,0.452,0.443,0.444,0.439,0.274
37.732,38.711,39.284,0.445,0.457,0.348,0.320,0.340,-0.073,0.582,0.523,0.407,0.370,0.257
36.759,37.950,40.065,0.411,0.379,0.452,0.326,0.319,-0.133,0.581,0.522,0.407,0.304,0.242
39.848,39.302,40.124,0.245,0.314,0.279,0.257,0.293,-0.042,0.494,0.438,0.415,0.244,0.233
39.261,38.796,41.221,0.469,0.456,0.409,0.337,0.376,-0.108,0.494,0.438,0.415,0.187,0.224
40.814,40.858,41.682,0.183,0.183,0.150,0.195,0.205,-0.017,0.605,0.567,0.486,0.137,0.220
40.733,39.259,40.117,0.136,0.187,0.269,0.161,0.190,-0.053,0.604,0.567,0.486,0.093,0.220
39.966,39.254,41.632,0.150,0.235,0.282,0.171,0.211,-0.063,0.430,0.421,0.430,0.044,0.220
39.415,38.951,42.013,0.368,0.314,0.287,0.284,0.269,-0.057,0.430,0.421,0.430,0.000,0.225
30.735,29.898,29.351,-0.102,-0.060,-0.052,-0.307,-0.194,-0.064,0.276,0.278,0.280,0.037,0.234
43.122,40.241,43.965,0.200,0.194,0.172,0.253,0.253,0.002,0.186,0.175,0.066,0.011,0.958
41.952,40.205,42.818,0.262,0.244,0.202,0.267,0.282,-0.018,0.167,0.130,0.074,0.000,0.892
43.060,40.989,43.964,0.247,0.249,0.235,0.297,0.304,-0.024,0.167,0.130,0.074,0.005,0.857
39.557,38.442,42.024,0.337,0.326,0.299,0.323,0.329,-0.051,0.164,0.124,0.077,0.011,0.822
41.695,40.114,42.831,0.224,0.278,0.205,0.262,0.300,-0.003,0.164,0.124,0.077,0.020,0.793
42.607,38.896,40.834,0.259,0.285,0.302,0.288,0.306,-0.066,0.160,0.114,0.081,0.033,0.758
42.344,38.837,44.710,0.229,0.320,0.339,0.282,0.331,-0.058,0.160,0.114,0.080,0.055,0.724
41.345,38.579,40.867,0.293,0.375,0.310,0.306,0.362,-0.059,0.108,0.078,0.076,0.079,0.695
40.463,39.973,40.865,0.270,0.215,0.268,0.296,0.268,-0.038,0.108,0.078,0.076,0.105,0.661
43.475,41.581,42.427,0.188,0.185,0.232,0.276,0.274,-0.020,0.076,0.060,0.078,0.128,0.628
41.675,41.809,43.904,0.405,0.396,0.355,0.357,0.354,-0.071,0.076,0.060,0.078,0.154,0.600
43.917,43.721,43.952,0.286,0.215,0.303,0.307,0.296,-0.040,0.074,0.059,0.082,0.185,0.566
44.534,42.926,43.194,0.190,0.207,0.176,0.268,0.282,-0.004,0.081,0.068,0.094,0.217,0.533
45.382,43.971,44.348,0.177,0.172,0.142,0.261,0.259,0.026,0.081,0.068,0.094,0.246,0.500
42.608,42.593,43.217,0.202,0.165,0.155,0.260,0.240,-0.007,0.107,0.090,0.128,0.277,0.474
41.074,42.189,42.810,0.379,0.246,0.180,0.341,0.295,0.001,0.107,0.091,0.128,0.310,0.443
43.423,43.164,43.190,0.217,0.209,0.287,0.276,0.281,-0.033,0.203,0.184,0.248,0.339,0.413
42.140,40.710,43.190,0.352,0.330,0.313,0.331,0.335,-0.035,0.203,0.184,0.248,0.378,0.389
39.128,41.787,40.878,0.184,0.291,0.287,0.152,0.298,-0.046,0.383,0.394,0.376,0.425,0.362
40.301,40.554,40.503,0.245,0.183,0.230,0.232,0.195,-0.034,0.383,0.394,0.376,0.466,0.335
41.365,42.103,41.660,0.175,0.182,0.188,0.155,0.188,-0.019,0.370,0.382,0.359,0.475,0.313
41.183,41.960,40.491,0.235,0.254,0.287,0.239,0.286,-0.060,0.370,0.382,0.359,0.485,0.287
40.459,41.458,41.684,0.150,0.159,0.151,0.162,0.179,-0.018,0.452,0.443,0.444,0.487,0.263
40.972,41.389,42.057,0.128,0.169,0.170,0.133,0.183,-0.032,0.452,0.443,0.444,0.421,0.247
38.845,39.323,40.049,0.153,0.322,0.338,0.159,0.311,-0.073,0.582,0.523,0.407,0.349,0.229
38.502,39.335,39.675,0.367,0.452,0.365,0.275,0.353,-0.088,0.582,0.523,0.408,0.279,0.213
38.564,39.669,39.659,0.414,0.399,0.314,0.326,0.313,-0.054,0.494,0.438,0.415,0.214,0.202
38.363,39.256,38.495,0.273,0.253,0.313,0.228,0.231,-0.069,0.494,0.438,0.415,0.147,0.193
40.565,40.154,40.844,0.192,0.287,0.284,0.183,0.226,-0.067,0.605,0.568,0.487,0.089,0.188
39.696,39.636,43.191,0.243,0.262,0.279,0.233,0.266,-0.066,0.605,0.568,0.487,0.044,0.188
41.175,40.929,41.703,0.153,0.158,0.092,0.238,0.247,-0.013,0.430,0.421,0.430,0.041,0.195
30.612,30.227,30.582,-0.136,-0.075,-0.079,-0.326,-0.200,-0.060,0.324,0.318,0.330,0.086,0.205
43.832,40.439,43.583,0.151,0.194,0.166,0.210,0.272,0.003,0.175,0.162,0.066,0.090,0.984
42.396,38.947,42.049,0.245,0.275,0.201,0.283,0.306,-0.021,0.174,0.161,0.065,0.073,0.948
40.769,38.464,42.005,0.327,0.287,0.228,0.281,0.240,-0.031,0.174,0.161,0.065,0.059,0.912
42.442,39.803,41.289,0.245,0.342,0.232,0.257,0.333,-0.023,0.160,0.149,0.071,0.054,0.882
43.036,40.624,42.794,0.229,0.297,0.289,0.245,0.316,-0.049,0.160,0.149,0.071,0.045,0.847
42.274,39.625,43.915,0.226,0.166,0.297,0.238,0.201,-0.077,0.177,0.171,0.066,0.039,0.811
43.512,42.115,46.588,0.206,0.208,0.259,0.280,0.286,-0.017,0.177,0.172,0.066,0.034,0.781
41.360,39.986,42.399,0.225,0.253,0.237,0.226,0.256,-0.036,0.183,0.189,0.063,0.015,0.746
44.976,41.843,45.077,0.242,0.290,0.221,0.306,0.317,-0.006,0.150,0.117,0.084,0.020,0.682
41.939,42.000,45.050,0.270,0.324,0.342,0.293,0.329,-0.064,0.150,0.117,0.084,0.045,0.648
43.977,42.142,44.346,0.262,0.252,0.252,0.331,0.284,-0.038,0.118,0.081,0.090,0.068,0.614
42.617,41.695,45.452,0.267,0.246,0.344,0.313,0.310,-0.043,0.118,0.081,0.090,0.097,0.586
43.063,42.401,44.319,0.230,0.258,0.218,0.274,0.301,-0.012,0.101,0.086,0.085,0.127,0.552
44.176,43.567,44.713,0.224,0.179,0.194,0.282,0.258,0.005,0.085,0.073,0.103,0.158,0.518
43.322,42.116,40.501,0.214,0.189,0.179,0.291,0.266,0.004,0.085,0.073,0.103,0.189,0.485
42.536,42.144,42.421,0.239,0.321,0.248,0.276,0.331,-0.014,0.144,0.126,0.171,0.220,0.457
41.293,41.001,38.960,0.241,0.313,0.304,0.280,0.319,-0.050,0.144,0.126,0.171,0.251,0.425
39.935,40.515,40.837,0.340,0.373,0.302,0.280,0.308,-0.067,0.337,0.328,0.491,0.283,0.394
39.474,41.013,40.862,0.361,0.341,0.294,0.297,0.300,-0.057,0.337,0.328,0.491,0.329,0.369
39.824,40.372,40.489,0.346,0.324,0.277,0.276,0.277,-0.051,0.352,0.370,0.350,0.376,0.340
39.328,40.127,40.449,0.290,0.317,0.292,0.254,0.294,-0.051,0.352,0.370,0.350,0.402,0.313
41.236,41.260,41.262,0.174,0.243,0.221,0.192,0.247,-0.041,0.544,0.523,0.430,0.411,0.291
40.489,40.981,40.515,0.232,0.266,0.297,0.234,0.257,-0.066,0.545,0.523,0.430,0.421,0.264
40.544,41.397,42.058,0.122,0.177,0.299,0.144,0.195,-0.046,0.565,0.523,0.500,0.431,0.239
40.795,40.781,41.267,0.207,0.298,0.349,0.218,0.288,-0.072,0.565,0.523,0.500,0.408,0.220
39.152,39.541,40.026,0.334,0.472,0.379,0.261,0.353,-0.099,0.675,0.632,0.655,0.335,0.201
37.315,38.503,38.864,0.430,0.448,0.368,0.296,0.331,-0.097,0.675,0.632,0.654,0.262,0.184
37.919,38.126,36.118,0.471,0.513,0.375,0.341,0.373,-0.106,0.721,0.673,0.687,0.195,0.172
36.643,36.697,37.260,0.510,0.579,0.426,0.352,0.412,-0.129,0.721,0.673,0.687,0.123,0.163
39.627,39.384,40.065,0.207,0.295,0.326,0.199,0.244,-0.077,0.837,0.757,0.712,0.053,0.157
41.061,40.108,40.906,0.114,0.113,0.143,0.129,0.138,-0.028,0.293,0.275,0.340,0.042,0.157
30.486,30.601,29.762,-0.111,-0.075,-0.062,-0.300,-0.221,-0.063,0.430,0.421,0.430,0.089,0.164
30.608,30.510,29.341,-0.123,-0.065,-0.062,-0.317,-0.204,-0.063,0.227,0.219,0.235,0.134,0.176
42.922,38.337,45.465,0.216,0.226,0.196,0.261,0.285,0.002,0.174,0.161,0.065,0.135,0.940
41.946,38.488,44.724,0.230,0.221,0.206,0.238,0.250,0.005,0.174,0.161,0.065,0.123,0.904
42.155,37.166,43.161,0.277,0.313,0.269,0.250,0.292,-0.040,0.160,0.149,0.071,0.117,0.873
42.865,39.878,44.716,0.288,0.174,0.184,0.318,0.257,0.007,0.160,0.149,0.071,0.109,0.837
40.727,40.692,44.342,0.288,0.216,0.235,0.308,0.281,-0.033,0.177,0.171,0.066,0.103,0.801
42.914,41.102,44.318,0.286,0.241,0.329,0.311,0.294,-0.046,0.177,0.171,0.066,0.099,0.771
42.097,40.711,43.928,0.184,0.259,0.370,0.201,0.281,-0.081,0.183,0.189,0.063,0.076,0.736
42.669,40.630,43.951,0.177,0.216,0.313,0.205,0.243,-0.055,0.183,0.188,0.063,0.053,0.700
42.991,42.406,44.326,0.228,0.200,0.194,0.297,0.278,-0.003,0.150,0.117,0.084,0.028,0.671
43.113,41.845,45.093,0.232,0.271,0.245,0.291,0.314,-0.020,0.150,0.117,0.084,0.005,0.635
41.893,42.588,44.718,0.225,0.246,0.390,0.268,0.292,-0.084,0.118,0.081,0.090,0.009,0.601
42.965,42.240,42.412,0.255,0.213,0.339,0.292,0.280,-0.059,0.118,0.081,0.090,0.037,0.572
42.189,41.810,40.890,0.270,0.255,0.213,0.276,0.265,-0.019,0.101,0.086,0.085,0.070,0.538
43.494,41.886,43.183,0.210,0.181,0.285,0.295,0.266,-0.028,0.085,0.073,0.103,0.101,0.504
40.075,41.278,43.948,0.307,0.320,0.221,0.314,0.330,-0.023,0.085,0.073,0.103,0.130,0.471
38.818,38.649,38.951,0.220,0.290,0.198,0.061,0.137,-0.053,0.144,0.126,0.171,0.163,0.443
39.822,39.849,38.888,0.345,0.373,0.325,0.301,0.324,-0.084,0.144,0.127,0.171,0.193,0.409
40.318,41.041,42.429,0.177,0.245,0.255,0.194,0.264,-0.026,0.337,0.328,0.491,0.232,0.377
39.005,40.654,41.222,0.444,0.427,0.356,0.337,0.337,-0.097,0.337,0.328,0.491,0.279,0.350
36.827,39.857,39.673,0.477,0.392,0.368,0.337,0.335,-0.097,0.352,0.370,0.350,0.326,0.320
35.953,38.276,37.249,0.551,0.545,0.409,0.381,0.395,-0.100,0.352,0.370,0.350,0.339,0.291
38.926,39.537,40.077,0.302,0.370,0.261,0.241,0.302,-0.056,0.544,0.523,0.430,0.348,0.269
40.632,40.593,42.423,0.162,0.175,0.237,0.160,0.180,-0.040,0.545,0.523,0.430,0.358,0.242
38.941,40.330,38.102,0.301,0.345,0.315,0.282,0.323,-0.084,0.565,0.524,0.500,0.367,0.215
40.509,40.598,41.294,0.147,0.127,0.202,0.153,0.141,-0.015,0.565,0.524,0.500,0.376,0.195
41.021,42.214,42.070,0.189,0.191,0.156,0.196,0.196,-0.016,0.675,0.632,0.655,0.330,0.173
39.115,37.941,38.536,0.196,0.353,0.300,0.195,0.301,-0.066,0.675,0.632,0.655,0.256,0.156
39.378,39.413,39.702,0.346,0.394,0.289,0.248,0.310,-0.060,0.721,0.673,0.687,0.188,0.143
40.482,39.157,40.843,0.253,0.369,0.266,0.239,0.285,-0.062,0.721,0.673,0.687,0.114,0.133
41.133,41.234,41.307,0.159,0.145,0.140,0.151,0.151,-0.019,0.837,0.757,0.712,0.041,0.126
40.692,40.606,41.260,0.130,0.288,0.250,0.138,0.256,-0.052,0.836,0.756,0.712,0.015,0.125
39.337,37.574,40.482,0.302,0.325,0.242,0.254,0.299,-0.062,0.293,0.275,0.340,0.089,0.126
30.474,30.263,29.760,-0.122,-0.100,-0.069,-0.315,-0.257,-0.065,0.048,0.044,0.053,0.138,0.135
43.609,30.545,35.345,0.114,-0.052,-0.057,0.174,-0.192,-0.064,0.048,0.044,0.054,0.183,0.148
43.388,39.851,43.963,0.186,0.176,0.209,0.265,0.261,0.011,0.141,0.125,0.070,0.187,0.896
41.653,39.576,44.297,0.322,0.369,0.312,0.312,0.334,-0.065,0.097,0.076,0.075,0.180,0.865
44.992,41.560,44.710,0.204,0.167,0.166,0.281,0.254,0.010,0.098,0.076,0.075,0.173,0.829
44.975,42.227,43.570,0.223,0.176,0.216,0.301,0.259,-0.003,0.096,0.076,0.070,0.168,0.792
39.788,38.166,42.007,0.408,0.362,0.262,0.336,0.328,-0.019,0.096,0.076,0.070,0.161,0.762
40.638,39.886,43.537,0.330,0.326,0.269,0.296,0.307,-0.040,0.112,0.095,0.069,0.136,0.726
41.583,39.728,44.314,0.323,0.318,0.324,0.326,0.303,-0.051,0.112,0.095,0.069,0.114,0.690
40.987,41.574,41.239,0.212,0.243,0.389,0.252,0.283,-0.097,0.127,0.082,0.084,0.088,0.660
41.082,39.918,42.041,0.306,0.422,0.257,0.290,0.354,-0.031,0.150,0.117,0.084,0.064,0.624
42.575,41.548,44.695,0.334,0.301,0.219,0.304,0.258,-0.013,0.118,0.081,0.090,0.039,0.589
43.162,41.733,45.091,0.212,0.216,0.260,0.266,0.272,-0.039,0.118,0.081,0.090,0.009,0.560
41.890,41.339,45.093,0.257,0.236,0.230,0.272,0.273,-0.030,0.101,0.086,0.085,0.011,0.525
42.688,41.903,41.612,0.244,0.213,0.258,0.297,0.274,-0.032,0.085,0.073,0.103,0.044,0.490
40.950,42.176,43.945,0.288,0.361,0.398,0.314,0.359,-0.086,0.085,0.073,0.103,0.072,0.457
39.279,40.334,39.272,0.378,0.391,0.382,0.319,0.338,-0.090,0.144,0.126,0.171,0.104,0.428
37.905,39.287,41.657,0.391,0.340,0.294,0.333,0.326,-0.040,0.145,0.127,0.172,0.139,0.395
40.654,42.094,42.811,0.284,0.277,0.316,0.294,0.297,-0.071,0.337,0.328,0.491,0.183,0.361
40.703,41.996,42.047,0.277,0.267,0.299,0.297,0.288,-0.046,0.337,0.328,0.491,0.230,0.334
36.653,38.269,38.077,0.487,0.514,0.331,0.327,0.368,-0.073,0.352,0.370,0.350,0.271,0.302
37.491,38.868,37.710,0.452,0.459,0.353,0.339,0.373,-0.081,0.352,0.371,0.351,0.275,0.271
41.269,41.110,40.904,0.233,0.198,0.174,0.216,0.206,-0.033,0.545,0.523,0.430,0.284,0.247
40.635,41.085,41.276,0.172,0.161,0.202,0.164,0.149,-0.044,0.545,0.523,0.430,0.294,0.220
41.236,41.319,41.666,0.199,0.170,0.196,0.187,0.161,-0.032,0.566,0.524,0.501,0.303,0.193
41.283,41.567,41.286,0.155,0.183,0.182,0.146,0.180,-0.032,0.566,0.524,0.501,0.312,0.171
41.008,41.225,41.265,0.330,0.267,0.173,0.239,0.226,-0.019,0.675,0.632,0.655,0.322,0.147
40.745,41.355,42.435,0.193,0.221,0.196,0.194,0.194,-0.032,0.675,0.633,0.656,0.264,0.128
41.113,41.856,42.071,0.131,0.152,0.132,0.138,0.160,-0.015,0.721,0.674,0.687,0.196,0.114
39.857,40.959,41.679,0.225,0.224,0.140,0.186,0.217,-0.014,0.721,0.674,0.687,0.123,0.102
41.144,41.479,41.624,0.348,0.329,0.252,0.285,0.264,-0.067,0.837,0.757,0.712,0.050,0.094
40.291,40.831,41.300,0.124,0.157,0.136,0.141,0.159,-0.032,0.836,0.756,0.712,0.005,0.094
32.315,32.937,33.469,-0.093,-0.095,-0.052,-0.270,-0.237,-0.062,0.293,0.275,0.340,0.079,0.095
38.611,31.360,43.991,0.110,-0.077,-0.079,0.112,-0.201,-0.058,0.048,0.044,0.053,0.152,0.106
46.540,35.215,46.235,0.108,0.138,-0.031,0.181,0.161,-0.061,0.048,0.044,0.053,0.219,0.121
40.993,36.324,39.638,0.305,0.325,0.405,0.291,0.295,-0.121,0.119,0.100,0.072,0.251,0.888
39.221,37.369,40.908,0.277,0.319,0.251,0.286,0.307,-0.030,0.097,0.076,0.075,0.243,0.858
40.862,36.797,38.870,0.507,0.370,0.309,0.400,0.337,-0.051,0.097,0.076,0.075,0.237,0.821
43.937,41.655,43.966,0.211,0.171,0.341,0.290,0.250,-0.065,0.096,0.076,0.070,0.232,0.785
43.984,38.681,44.326,0.207,0.233,0.167,0.281,0.271,0.012,0.096,0.076,0.070,0.221,0.754
44.053,41.005,43.197,0.200,0.213,0.230,0.284,0.274,-0.018,0.112,0.095,0.069,0.196,0.718
42.669,41.050,44.338,0.335,0.368,0.321,0.338,0.348,-0.057,0.112,0.095,0.069,0.173,0.681
39.818,39.360,41.969,0.349,0.467,0.401,0.296,0.350,-0.106,0.127,0.082,0.084,0.148,0.651
44.359,43.057,47.698,0.187,0.191,0.166,0.250,0.264,-0.023,0.127,0.082,0.084,0.123,0.615
42.490,41.609,43.183,0.228,0.314,0.349,0.254,0.318,-0.074,0.138,0.113,0.067,0.097,0.579
41.288,41.036,42.377,0.341,0.421,0.409,0.251,0.339,-0.117,0.138,0.113,0.067,0.066,0.549
40.280,40.786,41.611,0.332,0.351,0.277,0.284,0.323,-0.044,0.192,0.169,0.116,0.035,0.514
40.846,41.414,42.432,0.351,0.220,0.227,0.327,0.272,-0.023,0.187,0.139,0.174,0.002,0.478
41.144,42.334,43.964,0.269,0.245,0.247,0.302,0.298,-0.021,0.187,0.139,0.174,0.015,0.443
40.424,41.374,43.163,0.254,0.306,0.311,0.242,0.293,-0.055,0.208,0.173,0.229,0.046,0.415
39.082,40.126,42.044,0.204,0.301,0.332,0.198,0.297,-0.064,0.208,0.174,0.230,0.090,0.381
40.823,41.250,41.659,0.250,0.334,0.225,0.214,0.283,-0.031,0.311,0.323,0.392,0.134,0.347
38.218,39.686,40.084,0.350,0.380,0.335,0.270,0.303,-0.079,0.311,0.324,0.392,0.180,0.319
37.772,39.204,38.885,0.386,0.409,0.333,0.260,0.299,-0.089,0.385,0.402,0.393,0.207,0.286
38.334,39.389,40.062,0.416,0.381,0.339,0.284,0.304,-0.078,0.386,0.402,0.393,0.212,0.253
39.714,40.846,40.494,0.291,0.269,0.219,0.250,0.234,-0.024,0.735,0.725,0.796,0.221,0.227
41.044,41.368,41.705,0.120,0.084,0.136,0.128,0.094,-0.029,0.736,0.725,0.796,0.231,0.198
40.703,40.606,40.492,0.147,0.213,0.280,0.161,0.210,-0.055,0.848,0.822,0.884,0.240,0.171
40.214,41.143,41.311,0.182,0.163,0.123,0.188,0.184,-0.018,0.849,0.822,0.885,0.249,0.149
40.869,40.521,40.882,0.123,0.110,0.234,0.139,0.118,-0.051,0.896,0.922,0.932,0.258,0.122
41.197,42.021,42.448,0.133,0.119,0.098,0.148,0.128,-0.018,0.895,0.921,0.932,0.269,0.100
40.961,40.988,41.259,0.213,0.209,0.186,0.193,0.188,-0.033,0.663,0.857,0.901,0.205,0.086
41.210,41.819,42.066,0.139,0.138,0.105,0.154,0.144,-0.009,0.663,0.857,0.901,0.133,0.071
41.135,41.194,40.895,0.203,0.195,0.230,0.198,0.203,-0.036,0.781,0.735,0.787,0.059,0.063
41.330,41.505,42.069,0.166,0.178,0.098,0.184,0.161,-0.021,0.780,0.734,0.785,0.000,0.063
31.010,30.897,30.185,-0.116,-0.077,-0.073,-0.298,-0.210,-0.064,0.029,0.031,0.048,0.070,0.064
45.668,40.894,44.688,0.286,0.390,-0.032,0.275,0.314,-0.057,0.023,0.018,0.040,0.143,0.078
44.035,41.470,46.178,0.312,0.354,0.246,0.330,0.320,-0.043,0.023,0.018,0.040,0.212,0.096
43.018,38.836,43.202,0.264,0.285,0.158,0.302,0.278,0.002,0.097,0.076,0.075,0.307,0.851
41.880,38.444,42.410,0.322,0.248,0.216,0.298,0.281,-0.011,0.097,0.076,0.075,0.301,0.814
43.043,39.798,43.956,0.229,0.189,0.235,0.249,0.254,-0.006,0.096,0.076,0.070,0.296,0.777
39.832,38.967,39.305,0.348,0.307,0.305,0.301,0.306,-0.041,0.096,0.076,0.070,0.282,0.747
42.461,40.847,42.004,0.329,0.266,0.257,0.298,0.297,-0.029,0.112,0.095,0.069,0.257,0.710
44.256,42.303,46.590,0.190,0.237,0.186,0.248,0.281,-0.002,0.112,0.095,0.069,0.234,0.674
42.493,40.661,42.396,0.302,0.307,0.225,0.308,0.309,-0.008,0.127,0.082,0.084,0.209,0.643
42.396,39.365,44.724,0.237,0.167,0.210,0.288,0.188,-0.002,0.127,0.082,0.084,0.184,0.607
44.012,41.615,46.217,0.199,0.183,0.212,0.260,0.256,-0.004,0.138,0.113,0.068,0.156,0.570
43.245,41.565,45.447,0.250,0.211,0.308,0.311,0.286,-0.056,0.138,0.113,0.068,0.123,0.540
41.090,41.237,41.992,0.290,0.243,0.260,0.267,0.245,-0.053,0.192,0.169,0.116,0.092,0.504
40.734,40.658,42.794,0.206,0.266,0.235,0.233,0.258,-0.031,0.187,0.139,0.174,0.061,0.468
40.841,41.868,42.769,0.280,0.402,0.379,0.294,0.361,-0.103,0.187,0.139,0.174,0.031,0.432
39.730,41.920,41.216,0.390,0.354,0.343,0.286,0.301,-0.081,0.208,0.174,0.230,0.041,0.368
39.573,40.062,40.865,0.288,0.369,0.224,0.249,0.309,-0.023,0.311,0.323,0.392,0.084,0.333
40.349,37.911,41.649,0.223,0.319,0.317,0.218,0.247,-0.078,0.311,0.323,0.392,0.131,0.305
38.143,39.861,41.230,0.354,0.369,0.329,0.236,0.292,-0.079,0.385,0.401,0.393,0.143,0.271
38.437,39.609,40.437,0.464,0.469,0.374,0.337,0.359,-0.100,0.386,0.402,0.394,0.148,0.238
40.593,41.423,40.888,0.202,0.239,0.237,0.198,0.226,-0.051,0.735,0.725,0.796,0.158,0.210
41.201,41.640,41.305,0.138,0.227,0.171,0.144,0.195,-0.029,0.736,0.725,0.796,0.168,0.178
